;make_сделайте;is_back_есть;is_prefix_used_differently_да;aspect_сов.;neg_нет;neg_ничего;neg_отрицание;neg_раз-;has_oblect_да;target
42;0;0;0;0;0;0;0;0;0;0
43;0;0;0;0;0;0;0;0;0;0
44;0;0;0;0;0;0;0;0;0;0
45;0;0;0;0;0;0;0;0;0;0
46;0;0;0;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0;0;0;0
48;0;0;0;0;0;0;0;0;0;0
49;0;0;0;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;0;0
51;0;0;0;0;0;0;0;0;0;0
52;0;0;0;0;0;0;0;0;0;0
53;0;0;0;0;0;0;0;0;0;0
54;0;0;0;0;0;0;0;0;0;0
55;0;0;0;0;0;0;0;0;0;0
56;0;0;0;0;0;0;0;0;0;0
57;0;0;0;0;0;0;0;0;0;0
58;0;0;0;0;0;0;0;0;0;0
59;0;0;0;0;0;0;0;0;0;0
60;0;0;0;0;0;0;0;0;0;0
61;0;0;0;0;0;0;0;0;0;0
62;0;0;0;0;0;0;0;0;0;0
63;0;0;0;0;0;0;0;0;0;0
64;0;0;0;0;0;0;0;0;0;0
65;0;0;0;0;0;0;0;0;0;0
66;0;0;0;0;0;0;0;0;0;0
67;0;0;0;0;0;0;0;0;0;0
68;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;0;0;0;0
72;0;0;0;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0;0;0;0
75;0;0;0;0;0;0;0;0;0;0
76;0;0;0;0;0;0;0;0;0;0
77;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0;0;0;0
79;0;0;0;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0
82;0;0;0;0;0;0;0;0;0;0
83;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0
86;0;0;0;0;0;0;0;0;0;0
87;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;0;0
89;0;0;0;0;0;0;0;0;0;0
90;0;0;0;0;0;0;0;0;0;0
91;0;0;0;0;0;0;0;0;0;0
92;0;0;0;0;0;0;0;0;0;0
93;0;0;0;0;0;0;0;0;0;0
94;0;0;0;0;0;0;0;0;0;0
95;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0;0;0
101;0;0;0;0;0;0;0;0;0;0
102;0;0;0;0;0;0;0;0;0;0
103;0;0;0;0;0;0;0;0;0;0
104;0;0;0;0;0;0;0;0;0;0
105;1;1;1;1;1;1;1;1;1;1
106;1;1;1;1;1;1;1;1;1;1
107;1;1;1;1;1;1;1;1;1;1
108;1;1;1;1;1;1;1;1;1;1
109;1;1;1;1;1;1;1;1;1;1
110;1;1;1;1;1;1;1;1;1;1
111;1;1;1;1;1;1;1;1;1;1
112;1;1;1;1;1;1;1;1;1;1
113;1;1;1;1;1;1;1;1;1;1
114;1;1;1;1;1;1;1;1;1;1
115;1;1;1;1;1;1;1;1;1;1
116;1;1;1;1;1;1;1;1;1;1
117;1;1;1;1;1;1;1;1;1;1
118;1;1;1;1;1;1;1;1;1;1
119;1;1;1;1;1;1;1;1;1;1
120;1;1;1;1;1;1;1;1;1;1
121;1;1;1;1;1;1;1;1;1;1
122;1;1;1;1;1;1;1;1;1;1
123;1;1;1;1;1;1;1;1;1;1
124;1;1;1;1;1;1;1;1;1;1
125;1;1;1;1;1;1;1;1;1;1
126;1;1;1;1;1;1;1;1;1;1
127;1;1;1;1;1;1;1;1;1;1
128;1;1;1;1;1;1;1;1;1;1
129;1;1;1;1;1;1;1;1;1;1
130;1;1;1;1;1;1;1;1;1;1
131;1;1;1;1;1;1;1;1;1;1
132;1;1;1;1;1;1;1;1;1;1
133;1;1;1;1;1;1;1;1;1;1
134;1;1;1;1;1;1;1;1;1;1
135;1;1;1;1;1;1;1;1;1;1
136;1;1;1;1;1;1;1;1;1;1
137;1;1;1;1;1;1;1;1;1;1
138;1;1;1;1;1;1;1;1;1;1
139;1;1;1;1;1;1;1;1;1;1
140;1;1;1;1;1;1;1;1;1;1
141;1;1;1;1;1;1;1;1;1;1
142;1;1;1;1;1;1;1;1;1;1
143;1;1;1;1;1;1;1;1;1;1
144;1;1;1;1;1;1;1;1;1;1
145;1;1;1;1;1;1;1;1;1;1
146;1;1;1;1;1;1;1;1;1;1
147;1;1;1;1;1;1;1;1;1;1
148;1;1;1;1;1;1;1;1;1;1
149;1;1;1;1;1;1;1;1;1;1
150;1;1;1;1;1;1;1;1;1;1
151;1;1;1;1;1;1;1;1;1;1
152;1;1;1;1;1;1;1;1;1;1
153;1;1;1;1;1;1;1;1;1;1
154;1;1;1;1;1;1;1;1;1;1
155;1;1;1;1;1;1;1;1;1;1
156;1;1;1;1;1;1;1;1;1;1
157;1;1;1;1;1;1;1;1;1;1
158;1;1;1;1;1;1;1;1;1;1
159;1;1;1;1;1;1;1;1;1;1
160;1;1;1;1;1;1;1;1;1;1
161;1;1;1;1;1;1;1;1;1;1
162;1;1;1;1;1;1;1;1;1;1
163;1;1;1;1;1;1;1;1;1;1
164;1;1;1;1;1;1;1;1;1;1
165;1;1;1;1;1;1;1;1;1;1
166;1;1;1;1;1;1;1;1;1;1
167;1;1;1;1;1;1;1;1;1;1
168;1;1;1;1;1;1;1;1;1;1
169;0;0;0;0;0;0;0;0;0;0
170;0;0;0;0;0;0;0;0;0;0
